,date,headlines,ticker,company
26,Stock Market Today: Top 10 things to know before the market opens,Stock Market Today: Trends in the SGX Nifty indicate a positive opening for the broader index in India with a gain of 66.50 points in step with the Wall Street ending marginally up and Asian markets trading in gains,AHLEAST,Asian Hotels (East) Limited
30,Stock Market Today: Top 10 things to know before the market opens today,"Stock Market News: Trends in the SGX Nifty indicate a positive opening for the broader index in India on Monday, continuing the bullish trend of the last trading session. Asian markets traded upbeat this morning on the back of positive cues from the West",AHLEAST,Asian Hotels (East) Limited
31,Stock Market Today: Top 10 things to know before the market opens today,Trends in the SGX Nifty indicate a flat to negative opening for the broader index in India with a loss of 49.50 points on Monday in sync with a steep fall in the US markets and most Asian peers trading in the red,AHLEAST,Asian Hotels (East) Limited
32,Stock Market Today: Top 10 things to know before the market opens today,"Stock Market News: Trends in the SGX Nifty indicate a gap-up opening for the broader index in India on Friday after multiple block deals in Adani Group companies, FIIs setting out on a buying binge, and a rally in US stocks and in peer Asian markets",AHLEAST,Asian Hotels (East) Limited
33,"Lemon Tree Hotels announces 6th new property in a month, stock gains","The 60-room property in Rajasthan#39;s Sri Ganganagar is the latest hotel that the company has signed in a month. It announced new properties in Manali, Bhopal, Kasauli and Dapoli. They will all get operational between 2023 and 2026",ANDHRSUGAR,The Andhra Sugars Limited
34,GAIL India stock gains after signing MoU with Shell Energy India for hydrocarbon imports,GAIL is planning to import ethane from the US to replace natural gas and naphtha as feedstock at petrochemical plants.,GAIL,GAIL (India) Limited
35,Stock Market Today: Top 10 things to know before the market opens today,Stock Market News: Trends in the SGX Nifty indicate a flat opening for the broader index in India amid US markets eking out small uptick and Asian peers edging up,AHLEAST,Asian Hotels (East) Limited
36,Stock Market Today: Top 10 things to know before the market opens today,"Stock Market News: Trends in the SGX Nifty indicate a positive opening for the broader index in India with a gain of 92 points on Wednesday, ending four straight sessions of downturn. The US markets rebounded on better macros and Asian indices traded in the g…",AHLEAST,Asian Hotels (East) Limited
37,Stock Market Today: Top 10 things to know before the market opens today,Stock Market Today: Trends in the SGX Nifty indicate a positive opening for the broader index in India with a gain of 19 points on Wednesday on the back of upbeat trading in Wall Street and peer markets in Asia ahead of Fed decision and bullish macro outlook,IMPAL,India Motor Parts and Accessories Limited
38,Vascon Engineers stock gains on bagging order worth Rs 158 crore,"Vascon Engineers Limited has received Letter of Acceptance amounting to Rs 158.09 crore for design, engineering, procurement and construction of Jila Karagar at Amethi in Uttar Pradesh",ENGINERSIN,Engineers India Limited
40,Stock Market Today: Top 10 things to know before the market opens today,Stock Market News: Trends in the SGX Nifty indicate a negative opening for the broader index in India on Wednesday with the US market ending weak amid growing Fed worries over manufacturing data and Asian indices showing lukewarm trade,AHLEAST,Asian Hotels (East) Limited
41,"More stock in Adani Group firms pledged to lenders, trustee says","SBICap Trustee said in a notice to exchanges that a further 0.99% shares in Adani Green Energy Ltd. were pledged âfor the benefits of the lendersâ of Adani Enterprises Ltd. An additional 0.76% shares in Adani Transmission Ltd. were also pledged to banks, …",ENERGYDEV,Energy Development Company Limited
43,Stock Market Today: Top 10 things to know before the market opens today,"Stock Market News: Trends in the SGX Nifty indicate a positive opening for the broader index in India after bloodbath on Monday. Wall Street records choppy trade and Asian indices post rise in volatility, but stronger macros give support to Indian markets",AHLEAST,Asian Hotels (East) Limited
44,"Should you buy the stock of PVR-Inox, the worldâs 5th largest multiplex chain?","The company is also a fast-food giant now. It clocked Rs 1,500 crore in F&amp;B sales last year. For context, Westlife Foodworld, which operates McDonald's in North and West, clocks about Rs 1,400-1,500 crore annual revenue. Brokerages say box office, F&amp;B …",ANDHRSUGAR,The Andhra Sugars Limited
45,"Taking Stock | Sensex, Nifty end marginally lower amid volatility; power, oil and gas worst hit",The BSE midcap index declined 0.4 percent and the smallcap index fell 0.8 percent,ANDHRSUGAR,The Andhra Sugars Limited
46,MM trades flat after hiking stake in aerospace subsidiary; analysts divided on stock performance,"The company increased its holding in Mahindra Aerospace Private Limited from around 91.6 percent to 100 percent. MAPLâs 7.68 crore shares were bought for around Rs 31.5 crore, the company said in an exchange filing",ANDHRSUGAR,The Andhra Sugars Limited
47,Olectra Greentech stock gains on bagging electric buses order,"The value of these orders would be approximately Rs 1,000 crore for Olectra.",ANDHRSUGAR,The Andhra Sugars Limited
48,Olectra Greentech stock gains on bagging electric buses order,"The value of these orders would be approximately Rs 1,000 crore for Olectra.",ANDHRSUGAR,The Andhra Sugars Limited
49,LT stock gains on bagging major orders for Hydrocarbon business,Larsen &amp; Toubro (L&amp;T) bagged major offshore orders from a prestigious overseas client for its hydrocarbon business.,LT,Larsen & Toubro Limited
50,Sebi speeds up action against social media stock tips: Sources,"The regulator#39;s action, which follow four earlier orders passed in the past twelve months, aim to signal growing concern that retail investors are being lured into stock market investments by companies and individuals who are not authorised to offer financ…",ANDHRSUGAR,The Andhra Sugars Limited
52,Anupam Rasayan stock gains on bagging Rs 984-crore order,The firm has  signed a $120-million (Rs 984-crore) letter of intent with a leading Japanese chemical company for supplying new-age advance intermediate for life science active ingredient,ANDHRSUGAR,The Andhra Sugars Limited
53,NTPC stock gains on record power generation in FY23,"NTPC has registered its highest-ever power generation of 400 BU in FY23, implying about 11 percent YoY growth",NTPC,NTPC Limited
56,Hindustan Zinc crashes 10% as stock trades ex-dividend,"With its fourth dividend payout, Hindustan Zinc has declared its highest-ever dividend of Rs 32,000 crore for FY23.",HCC,Hindustan Construction Company Limited
57,"Asia wary, US stock futures up on SVB reports",Helping nerves were reports First Citizens BancShares Inc was in advanced talks to acquire Silicon Valley Bank from the Federal Deposit Insurance Corp.,BANKBARODA,Bank of Baroda
59,First Republic shares tumble again as liquidity fears linger,The bank#39;s stock fell as much as 50% and closed at $12.18 after the New York Stock Exchange halted it several times due to volatility.,ANDHRSUGAR,The Andhra Sugars Limited
60,"Hindalco Industries cracks 5%, experts see more pain ahead","The stock has fallen 24 percent since January 2023 highs. Experts see the possibility of the stock touching the lows of September at around Rs 359, another 6-odd percent correction from current levels",ANDHRSUGAR,The Andhra Sugars Limited
61,"Hot Stocks | KPIT Technologies, SRF, NCC may fetch 13% return in short term","KPIT Technologies is currently trading at its record high, this illustrates that the stock already is in strong momentum. The stock has already shown a breakout of the Cup &amp; Handle pattern which indicated continuation of prior uptrend.",ANDHRSUGAR,The Andhra Sugars Limited
62,Know your stock | Is there a glimmer of hope for SeQuent Scientific?,"The stock has witnessed a consistent decline since testing its record high in July 2021. Since then, the stock has plunged around 76% on the back of declining profits.",ANDHRSUGAR,The Andhra Sugars Limited
63,"Hot Stocks | TD Power Systems, Religare Enterprises, Indraprastha Gas may fetch healthy returns",TD Power Systems has broken out from the symmetrical triangle on the daily chart with higher volumes. Primary and intermediate trend of the stock is positive as stock price is trading above its medium and long term important moving averages.,PFC,Power Finance Corporation Limited
64,SeQuent Scientific zooms 14% on terminating Tineta Pharma acquisition,The stock has corrected over 79.4 percent from its lifetime highs tested in July 2021.,ANDHRSUGAR,The Andhra Sugars Limited
65,IndusInd Bank shares tumble 3% post large deal,The stock has corrected around 13 percent in the past week.,ANDHRSUGAR,The Andhra Sugars Limited
67,Oil near flat as US crude stock draw contends with economic concerns,"Brent crude futures had edged higher by 5 cents to $82.71 per barrel by 0103 GMT, while U.S. West Texas Intermediate (WTI) crude futures gained 5 cents to $76.71 a barrel.",WSTCSTPAPR,West Coast Paper Mills Limited
68,NBCC stock price rises over 3% after bagging orders worth Rs 230 cr,"The central public sector enterprise under the Ministry of Housing and Urban Affairs received work orders worth Rs 229.81 crore, from Indian Institute of Foreign Trade. The civil construction company will construct new campus for IIFT in Kakinada.",ANDHRSUGAR,The Andhra Sugars Limited
70,Stock Market Today: Top 10 things to know before the market opens today,"In the previous session, the BSE Sensex declined 344 points to settle at 57,556, while the Nifty50 closed below psychological 17,000 mark, falling 71 points to 16,972",BSE,BSE Limited
71,Stock Market Today: Top 10 things to know before the market opens,Stock Market Today: Trends in the SGX Nifty indicate a positive opening for the broader index in India with a gain of 66.50 points in step with the Wall Street ending marginally up and Asian markets trading in gains,AHLEAST,Asian Hotels (East) Limited
78,Stock Market Today: Top 10 things to know before the market opens today,"Stock Market News: Trends in the SGX Nifty indicate a positive opening for the broader index in India on Monday, continuing the bullish trend of the last trading session. Asian markets traded upbeat this morning on the back of positive cues from the West",AHLEAST,Asian Hotels (East) Limited
79,Stock Market Today: Top 10 things to know before the market opens today,Trends in the SGX Nifty indicate a flat to negative opening for the broader index in India with a loss of 49.50 points on Monday in sync with a steep fall in the US markets and most Asian peers trading in the red,AHLEAST,Asian Hotels (East) Limited
80,"Lemon Tree Hotels announces 6th new property in a month, stock gains","The 60-room property in Rajasthan#39;s Sri Ganganagar is the latest hotel that the company has signed in a month. It announced new properties in Manali, Bhopal, Kasauli and Dapoli. They will all get operational between 2023 and 2026",ANDHRSUGAR,The Andhra Sugars Limited
81,GAIL India stock gains after signing MoU with Shell Energy India for hydrocarbon imports,GAIL is planning to import ethane from the US to replace natural gas and naphtha as feedstock at petrochemical plants.,GAIL,GAIL (India) Limited
82,Stock Market Today: Top 10 things to know before the market opens today,"Stock Market News: Trends in the SGX Nifty indicate a positive opening for the broader index in India with a gain of 92 points on Wednesday, ending four straight sessions of downturn. The US markets rebounded on better macros and Asian indices traded in the g…",AHLEAST,Asian Hotels (East) Limited
83,Stock Market Today: Top 10 things to know before the market opens today,Stock Market Today: Trends in the SGX Nifty indicate a positive opening for the broader index in India with a gain of 19 points on Wednesday on the back of upbeat trading in Wall Street and peer markets in Asia ahead of Fed decision and bullish macro outlook,IMPAL,India Motor Parts and Accessories Limited
85,Vascon Engineers stock gains on bagging order worth Rs 158 crore,"Vascon Engineers Limited has received Letter of Acceptance amounting to Rs 158.09 crore for design, engineering, procurement and construction of Jila Karagar at Amethi in Uttar Pradesh",ENGINERSIN,Engineers India Limited
86,"More stock in Adani Group firms pledged to lenders, trustee says","SBICap Trustee said in a notice to exchanges that a further 0.99% shares in Adani Green Energy Ltd. were pledged âfor the benefits of the lendersâ of Adani Enterprises Ltd. An additional 0.76% shares in Adani Transmission Ltd. were also pledged to banks, …",ENERGYDEV,Energy Development Company Limited
88,Stock Market Today: Top 10 things to know before the market opens today,"Stock Market News: Trends in the SGX Nifty indicate a positive opening for the broader index in India after bloodbath on Monday. Wall Street records choppy trade and Asian indices post rise in volatility, but stronger macros give support to Indian markets",AHLEAST,Asian Hotels (East) Limited
89,"Should you buy the stock of PVR-Inox, the worldâs 5th largest multiplex chain?","The company is also a fast-food giant now. It clocked Rs 1,500 crore in F&amp;B sales last year. For context, Westlife Foodworld, which operates McDonalds in North and West, clocks about Rs 1,400-1,500 crore annual revenue. Brokerages say box office, F&amp;B …",ANDHRSUGAR,The Andhra Sugars Limited
90,"Taking Stock | Sensex, Nifty end marginally lower amid volatility; power, oil and gas worst hit",The BSE midcap index declined 0.4 percent and the smallcap index fell 0.8 percent,ANDHRSUGAR,The Andhra Sugars Limited
91,MM trades flat after hiking stake in aerospace subsidiary; analysts divided on stock performance,"The company increased its holding in Mahindra Aerospace Private Limited from around 91.6 percent to 100 percent. MAPLâs 7.68 crore shares were bought for around Rs 31.5 crore, the company said in an exchange filing",ANDHRSUGAR,The Andhra Sugars Limited
92,"Trade Spotlight | What#39;s your strategy for Varun Beverages, State Bank of India, PB Fintech?","PB Fintech was also in focus, rising 6.5 percent to Rs 598, the highest closing level since June 27 last year, after consolidation in previous four trading sessions with sustaining above 200-day EMA (Rs 546). The stock has formed long bullish candle on the da…",ANDHRSUGAR,The Andhra Sugars Limited
94,"Hot Stocks | Usha Martin, Balrampur Chini Mills, Mahanagar Gas may fetch double-digit returns","Balrampur Chini is currently nearing its 3-month's high which tells that the stock already is in strong momentum. The stock in the latest week broke out of Inverse Head &amp; Shoulder pattern, signaling a beginning of the trend to the upside.",ANDHRSUGAR,The Andhra Sugars Limited
95,"Hot Stocks | Bet on Glenmark Pharma, Control Print, Rail Vikas Nigam for short term",Primary trend remains positive as Rail Vikas Nigam is trading above its 200-day EMA. Momentum indicators and oscillators are showing strength in the stock.,VIKASECO,Vikas EcoTech Limited
96,Know your stock: Will Privi Specialtyâs rollercoaster ride end now?,The stock has plunged over the last year and gained significantly over the last month.,ANDHRSUGAR,The Andhra Sugars Limited
97,"DLF tops BSE100 list with substantial volumes, potential to hit Rs 400 mark","The stock rose more than 4 percent on March 17, with significantly higher volumes.",ANDHRSUGAR,The Andhra Sugars Limited
99,"MRPL shares gain 7%, trade in the green for fifth straight session","On March 9, MRPL signed an agreement with Indian Institute of Chemical Technology (IICT) for collaborative research",IMFA,Indian Metals & Ferro Alloys Limited
101,Trading in times of correction: Top 10 ideas from experts for next 3-4 weeks,"The 17,300 level is expected to act as a crucial support, followed by the recent swing low of 17,250 and, if the said levels get broken, then there could be correction up to the 17,000 mark",ANDHRSUGAR,The Andhra Sugars Limited
104,Buy Suprajit Engineering; target of Rs 403: Sharekhan,"Sharekhan is bullish on Suprajit Engineering has recommended buy rating on the stock with a target price of Rs 403 in its research report dated February 15, 2023.",SUPRAJIT,Suprajit Engineering Limited
105,"Brokerages neutral on Tech M, negative on Infy, but investors cheer Mohit Joshiâs move",Brokerages believe Tech Mahindra stock can re-rate marginally in the near-term but a structural re-rating can happen only over medium term,M&M,Mahindra & Mahindra Limited
106,Buy PI Industries; target of Rs 4200: Sharekhan,"Sharekhan is bullish on PI Industries has recommended buy rating on the stock with a target price of Rs 4200 in its research report dated February 15, 2023.",PIIND,PI Industries Limited
107,"Buy Abbott India; target of Rs 25,243: Sharekhan","Sharekhan is bullish on Abbott India has recommended buy rating on the stock with a target price of Rs 25,243 in its research report dated March 13, 2023.",ABBOTINDIA,Abbott India Limited
108,"JSW Steel is adding capacity at right time to ride strong demand, says Motilal Oswal",Motilal Oswal Financial Services has maintained its âneutralâ rating on JSW Steel stock with a target price of Rs 710.,BINDALAGRO,Oswal Chemicals & Fertilizers Limited
109,Promoters offload Rs 825 crore shares in Kirloskar Oil,"Kirloskar Oil Engines have seen several block deals on March 8, which resulted into the stock closing the session with 20 percent upper circuit at Rs 390",20MICRONS,20 Microns Limited
110,Buy Gujarat Gas; target of Rs 560: Sharekhan,"Sharekhan is bullish on Gujarat Gas has recommended buy rating on the stock with a target price of Rs 560 in its research report dated February 13, 2023.",GAEL,Gujarat Ambuja Exports Limited
111,Buy Grasim; target of Rs 1900: Motilal Oswal,"Motilal Oswal is bullish on Grasim recommended buy rating on the stock with a target price of Rs 1900 in its research report dated March 08, 2023.",BINDALAGRO,Oswal Chemicals & Fertilizers Limited
113,Buy CEAT; target of Rs 1860: Motilal Oswal,"Motilal Oswal is bullish on CEAT recommended buy rating on the stock with a target price of Rs 1860 in its research report dated February 28, 2023.",BINDALAGRO,Oswal Chemicals & Fertilizers Limited
114,Buy KNR Constructions; target of Rs 310: Sharekhan,"Sharekhan is bullish on KNR Constructions has recommended buy rating on the stock with a target price of Rs 310 in its research report dated February 10, 2023.",KNRCON,KNR Constructions Limited
115,Buy Torrent Pharmaceuticals; target of Rs 1788: Sharekhan,"Sharekhan is bullish on Torrent Pharmaceuticals has recommended buy rating on the stock with a target price of Rs 1788 in its research report dated March 16, 2023.",TORNTPHARM,Torrent Pharmaceuticals Limited
116,Buy PVR; target of Rs 2096: Prabhudas Lilladher,"Prabhudas Lilladher is bullish on PVR has recommended buy rating on the stock with a target price of Rs 2096 in its research report dated March 14, 2023.",PVR,PVR Limited
118,Buy Marico; target of Rs 645: Sharekhan Here,"Sharekhan is bullish on Marico has recommended buy rating on the stock with a target price of Rs 645 in its research report dated March 01, 2023.",MARICO,Marico Limited
119,Buy NTPC; target of Rs 200: Sharekhan,"Sharekhan is bullish on NTPC has recommended buy rating on the stock with a target price of Rs 200 in its research report dated March 01, 2023.",NTPC,NTPC Limited
120,Buy Blue Star; target of Rs 1655: Sharekhan,"Sharekhan is bullish on Axis Bank has recommended buy rating on the stock with a target price of Rs 1655 in its research report dated March 02, 2023.",AXISBANK,Axis Bank Limited
122,Buy Grasim Industries; target of Rs 1900: Sharekhan,"Sharekhan is bullish on Grasim Industries has recommended buy rating on the stock with a target price of Rs 1900 in its research report dated February 14, 2023.",GRASIM,Grasim Industries Limited
123,Buy Tech Mahindra; target of Rs 1220: Sharekhan,"Sharekhan is bullish on Tech Mahindra has recommended buy rating on the stock with a target price of Rs 1220 in its research report dated March 03, 2023.",M&M,Mahindra & Mahindra Limited
124,Buy PVR; target of Rs 1800: Sharekhan,"Sharekhan is bullish on PVR has recommended buy rating on the stock with a target price of Rs 1800 in its research report dated March 14, 2023.",PVR,PVR Limited
125,"Patanjali to bring another FPO for Patanjali Foods; to start process from April, says Baba Ramdev","Stock exchanges NSE and BSE have frozen the shares of promoters of Baba Ramdev-led Patanjali Group firm Patanjali Foods, which is a major edible oil player.",BSE,BSE Limited
126,Buy TCS; target of Rs 3810: Motilal Oswal,"Motilal Oswal is bullish on TCS recommended buy rating on the stock with a target price of Rs 3810 in its research report dated March 17, 2023.",BINDALAGRO,Oswal Chemicals & Fertilizers Limited
127,Buy Jyothy Labs; target of Rs 240: Sharekhan,"Sharekhan is bullish on Jyothy Labs has recommended buy rating on the stock with a target price of Rs 240 in its research report dated March 17, 2023.",JYOTHYLAB,Jyothy Labs Limited
128,Buy IndusInd Bank; target of Rs 1450: Motilal Oswal,"Motilal Oswal is bullish on IndusInd Bank recommended buy rating on the stock with a target price of Rs 1450 in its research report dated March 12, 2023.",BANKBARODA,Bank of Baroda
129,Buy Vedant Fashions; target of Rs 1400: Motilal Oswal,"Motilal Oswal is bullish on Vedant Fashions recommended buy rating on the stock with a target price of Rs 1400 in its research report dated March 30, 2023.",BINDALAGRO,Oswal Chemicals & Fertilizers Limited
132,"Buy Abbott India; target of Rs 25,243: Sharekhan","Sharekhan is bullish on Abbott India has recommended buy rating on the stock with a target price of Rs 25,243 in its research report dated February 10, 2023.",ABBOTINDIA,Abbott India Limited
133,Buy Axis Bank; target of Rs 1130: Motilal Oswal,"Motilal Oswal is bullish on Axis Bank recommended buy rating on the stock with a target price of Rs 1130 in its research report dated March 01, 2023.",AXISBANK,Axis Bank Limited
134,Buy Thermax; target of Rs 2790: Sharekhan,"Sharekhan is bullish on Thermax has recommended buy rating on the stock with a target price of Rs 2790 in its research report dated February 13, 2023.",THERMAX,Thermax Limited
135,Buy Federal Bank; target of Rs 165: ICICI Direct,"ICICI Direct is bullish on Federal Bank recommended buy rating on the stock with a target price of Rs 165 in its research report dated March 02, 2023.",BANKBARODA,Bank of Baroda
136,Buy KSB; target of Rs 2390: ICICI Direct,"ICICI Direct is bullish on KSB recommended buy rating on the stock with a target price of Rs 2390 in its research report dated March 01, 2023.",ICICIBANK,ICICI Bank Limited
137,Buy NMDC; target of Rs 145: Sharekhan,"Sharekhan is bullish on NMDC has recommended buy rating on the stock with a target price of Rs 145 in its research report dated February 15, 2023.",NMDC,NMDC Limited
138,Buy Supreme Industries; target of Rs 3000: Sharekhan,"Sharekhan is bullish on Supreme Industries has recommended buy rating on the stock with a target price of Rs 3000 in its research report dated March 21, 2023.",SUPREMEIND,Supreme Industries Limited
139,Women#39;s Day Special | Woman experts on Dalal Street line up top 12 trading ideas,Oberoi Realty seems to be breaking out from a bullish Inverse Head and Shoulders pattern which emerged following a corrective move. The stock has crossed above the 200-DMA (daily moving average) which stands at Rs 876 and this DMA was almost acting as a proxy…,ANDHRSUGAR,The Andhra Sugars Limited
140,"Trade Spotlight | Your strategy for Cyient, GE Shipping, Aurobindo Pharma today",Great Eastern Shipping Company shares rose nearly 4 percent to Rs 624 and formed long bullish candlestick pattern on the daily timeframe with above average volumes.,EASTSILK,Eastern Silk Industries Limited
142,Bajaj Electricals shares gain on bagging order worth Rs 564 crore,"The company#39;s engineering and procurement segment had an order book of approximately Rs 1,200 crore in Q3.",ANDHRSUGAR,The Andhra Sugars Limited
143,Buy Punjab National Bank; target of Rs 64: Sharekhan,"Sharekhan is bullish on Punjab National Bank has recommended buy rating on the stock with a target price of Rs 64 in its research report dated March 09, 2023.",BANKBARODA,Bank of Baroda
144,HAL tanks 6% as govt sets OFS floor price at 7% discount,"The stake sale would be valued at Rs 2,867 crore, and the government has set a floor price of Rs 2,450 apiece, which is at a 6.6 percent discount from the previous close.",ANDHRSUGAR,The Andhra Sugars Limited
145,"Trade Spotlight | JSW Energy, JBM Auto, Zensar Technologies: Your game plan for today","JSW Energy surged nearly 13 percent to Rs 235, the highest closing level since February 9, and formed large bullish candle on the daily charts, with strong volumes after taking support at Rs 205 in previous session.",ENERGYDEV,Energy Development Company Limited
146,"Trade Spotlight | How should you trade in EIH, Mahindra CIE Automotive, NMDC today?","NMDC has also formed bullish candle with long upper shadow on the daily scale, indicating a bit of profit booking at higher levels. The stock closed with 1.7 percent gains at Rs 116.4, with above average volumes. It has been making higher highs higher lows fo…",ANDHRSUGAR,The Andhra Sugars Limited
147,"Trade Spotlight | Set your game for Jindal Stainless, Swan Energy, Mahanagar Gas today","Mahanagar Gas was the star performer, rising nearly 9 percent to Rs 986 and formed robust bullish candle on the daily charts with significantly higher volumes. The stock has been making higher highs higher lows formation for fifth consecutive session, with tr…",ANDHRSUGAR,The Andhra Sugars Limited
148,Buy Bata India; target of Rs 1775: Sharekhan,"Sharekhan is bullish on Bata India has recommended buy rating on the stock with a target price of Rs 1775 in its research report dated February 15, 2023.",BATAINDIA,Bata India Limited
149,Buy NOCIL; target of Rs 275: Sharekhan,"Sharekhan is bullish on NOCIL has recommended buy rating on the stock with a target price of Rs 275 in its research report dated February 10, 2023.",NOCIL,NOCIL Limited
150,Buy Grasim Industries; target of Rs 1900: Sharekhan,"Sharekhan is bullish on Grasim Industries has recommended buy rating on the stock with a target price of Rs 1900 in its research report dated March 08, 2023.",GRASIM,Grasim Industries Limited
151,Buy Cipla; target of Rs 1070: Prabhudas Lilladher,"Prabhudas Lilladher is bullish on Cipla has recommended buy rating on the stock with a target price of Rs 1070 in its research report dated March 01, 2023.",CIPLA,Cipla Limited
152,Buy Federal Bank; target of Rs 170: Sharekhan,"Sharekhan is bullish on Federal Bank has recommended buy rating on the stock with a target price of Rs 170 in its research report dated February 28, 2023.",BANKBARODA,Bank of Baroda
153,Buy Alicon Castalloy; target of Rs 1159: Sharekhan,"Sharekhan is bullish on Alicon Castalloy has recommended buy rating on the stock with a target price of Rs 1159 in its research report dated February 13, 2023.",ALICON,Alicon Castalloy Limited
154,Buy Godrej Consumer; target of Rs 1080: Motilal Oswal,"Motilal Oswal is bullish on Godrej Consumer recommended buy rating on the stock with a target price of Rs 1080 in its research report dated March 03, 2023.",BINDALAGRO,Oswal Chemicals & Fertilizers Limited
155,Buy Thermax; target of Rs 2790: Sharekhan,"Sharekhan is bullish on Thermax has recommended buy rating on the stock with a target price of Rs 2790 in its research report dated March 20, 2023.",THERMAX,Thermax Limited
156,Buy LT Foods; target of Rs 120: Geojit,"Geojit is bullish on LT Foods has recommended buy rating on the stock with a target price of Rs 120 in its research report dated March 21, 2023.",DAAWAT,LT Foods Limited
157,Buy TTK Prestige; target of Rs 857: Geojit,"Geojit is bullish on TTK Prestige has recommended buy rating on the stock with a target price of Rs 857 in its research report dated March 22, 2023.",GEOJITFSL,Geojit Financial Services Limited
158,Buy GAIL; target of Rs 147: Motilal Oswal,"Motilal Oswal is bullish on GAIL recommended buy rating on the stock with a target price of Rs 147 in its research report dated March 22, 2023.",BINDALAGRO,Oswal Chemicals & Fertilizers Limited
159,"Kalyan Jewellers sheds most in 13 weeks after block deal, but analysts see glittering returns","As per Bloomberg, the company has 6 buy calls, zero hold and zero sell calls. The 12-month consensus target price on the stock is Rs 156.50",ANDHRSUGAR,The Andhra Sugars Limited
