,Unnamed: 0.1,Unnamed: 0,sno,DATE,HEADLINE,TICKER,COMPANY NAME,SECTOR,SUBSECTOR,SERIES,DATE OF LISTING,PAID UP VALUE,MARKET LOT,ISIN NUMBER,FACE VALUE,negative_score,positive_score,neutral_score,compound_score,High,Low,Open,close,volume,adj close,avg High,avg low,avg open,avg close,avg volume,avg adj close,trend
2277,2277,2277,3815,20-07-2022,"Century Plyboards reports Q1 earnings.
  
▶️Cons net profit at ₹92.3 cr vs ₹31.4 cr (YoY)

▶️Cons revenue up 94.3% at ₹889 cr vs ₹457.5 cr (YoY)

▶️Cons EBITDA at ₹143.1 cr vs ₹60.2 cr (YoY)

▶️EBITDA margin at 16.1% vs 13.2% (YoY)",CENTENKA,Century Enka Limited,Textiles,Textiles,EQ,10-May-95,10,1,INE485A01015,10,0.0,0.066,0.934,0.4404,416.25,434.0,423.5,420.2000122,410.888092,91046,498.2700012,507.5199951,492.85,496.2400024,485.2429993,65053.8,bullish
2146,2146,2146,3595,09-07-2022,Sensex born: Published since 1 January 1986. The base value of the SENSEX was taken as 100 on 1 April 1979 and its base year as 1978–79.,ANDHRSUGAR,The Andhra Sugars Limited,Miscellaneous,Miscellaneous,EQ,01-Nov-95,2,1,INE715B01021,2,0.0,0.091,0.909,0.34,124.75,128.5,125.8000031,126.8499985,125.1620407,204753,149.2099991,151.3599991,146.6900009,148.8099991,146.8298233,152190.8,bullish
5235,5235,5235,8329,17-01-2023,"Shree Pushkar Chemicals & Fertilisers reports Q3 earnings.

▶️Net profit down 58.8% at Rs 5.1 cr Vs Rs 12.4 cr (YoY)

▶️Revenue up 11.9% at Rs 153.7 cr Vs Rs 137.3 cr (YoY)

▶️EBITDA down 33.2% at Rs 13.1 cr Vs Rs 19.7 cr (YoY)

▶️Margin at 8.5% Vs 14.3% (YoY)",RAMANEWS,Shree Rama Newsprint Limited,Paper,Paper,EQ,20-Sep-06,10,1,INE278B01020,10,0.0,0.056,0.944,0.4404,15.19999981,15.55000019,15.19999981,15.39999962,15.39999962,28512,18.46000004,18.80999985,18.27999973,18.41000004,18.41000004,30635.8,bearish
848,848,848,1457,06-04-2022,India likely to approve strategic sale of Rashtriya Chemical Fertilisers: Sources,IMPAL,India Motor Parts and Accessories Limited,Auto - 2 & 3 Wheelers,Auto - 2 & 3 Wheelers,EQ,07-Oct-05,10,1,INE547E01014,10,0.0,0.0,1.0,0.0,789.0999756,789.1500244,770.0,770.5499878,748.4345703,5581,925.2800049,927.0000122,902.9900024,916.4099976,890.1082764,2931.4,bullish
1702,1702,1702,2953,08-06-2022,BLS International to buy Zero Mass Private Limited for Rs 106 cr,BLS,BLS International Services Limited,Miscellaneous,Miscellaneous,EQ,14-Jun-16,1,1,INE153T01027,1,0.147,0.0,0.853,-0.2263,90.52500153,93.375,88.57499695,88.57499695,88.48740387,3198980,110.2850006,112.1150009,107.4800003,109.0550003,108.9471573,2720260.4,bullish
2642,2642,2642,4367,03-08-2022,"Bharti #Airtel signs 5G network agreement with Ericsson, Nokia, Samsung (From Agencies)",BHARTIARTL,Bharti Airtel Limited,Telecommunications - Service,Telecommunications - Service,EQ,15-Feb-02,5,1,INE397D01024,5,0.0,0.225,0.775,0.4939,688.0,696.8499756,680.7000122,693.1500244,693.1500244,5237250,820.3,827.7900024,810.0200073,818.8200073,817.0325317,8313607.6,bullish
5642,5642,5642,8872,09-02-2023,"Indian Hume Pipe Company reports Q3 earnings

◼️Net profit down 16.8% at Rs 12.7 cr Vs Rs 15.2 cr (YoY)

◼️Revenue down 4% at Rs 404.7 cr Vs Rs 421.5 cr (YoY)

◼️EBITDA down 5.6% at Rs 36.6 cr Vs Rs 38.8 cr (YoY)

◼️Margin at 9% Vs 9.2% (YoY)",IMFA,Indian Metals & Ferro Alloys Limited,Steel - Pig Iron,Steel - Pig Iron,EQ,23-Jul-10,10,1,INE919H01018,10,0.0,0.056,0.944,0.4404,303.5499878,314.5,309.7000122,311.0499878,311.0499878,177602,349.5599976,359.1899963,342.6699951,353.7099976,353.7099976,149779.2,bullish
2405,2405,2405,3979,25-07-2022,"Shanthi Gears reports Q1 earnings.

▶️Net profit up 56.6% at Rs 13.4 cr Vs Rs 8.5 cr (YoY)

▶️Revenue up 47.6% at Rs 98.9 cr Vs Rs 67 cr (YoY)",SHANTIGEAR,Shanthi Gears Limited,Engineering,Engineering,EQ,17-Jan-96,1,1,INE631A01022,1,0.0,0.091,0.909,0.4404,247.0,255.5,245.0,246.1499939,243.9357605,528380,274.8899994,284.5299988,272.7400024,278.2800018,275.7767395,314884.2,bullish
1876,1876,1876,3276,22-06-2022,"Bajaj Auto: A meeting of the Board of Directors is scheduled to be held on Monday, June 27, to further deliberate on the proposal for #buyback.",BAJAJ-AUTO,Bajaj Auto Limited,Sugar,Sugar,EQ,26-May-08,10,1,INE917I01010,10,0.0,0.0,1.0,0.0,3645.0,3721.5,3665.25,3635.649902,3504.044434,585483,4400.61001,4445.73999,4339.72002,4376.419971,4217.999561,639651.0,bullish
5317,5317,5317,8436,24-01-2023,#Delhivery bags order from Godrej Appliances for air cooler business supply chain solutions,GODREJCP,Godrej Consumer Products Limited,FMCG,FMCG,EQ,20-Jun-01,1,1,INE102D01028,1,0.0,0.124,0.876,0.1779,928.0,933.8499756,912.7999878,929.4000244,929.4000244,418065,1115.96001,1123.709998,1104.840002,1115.259998,1115.259998,1019047.4,bearish
2346,2346,2346,3900,22-07-2022,"Tata Motors in focus
Semiconductor Manufacturing International Corp (SMIC) has likely advanced its production technology by two generations, defying US sanctions intended to halt the rise of China’s largest chipmaker",TATAMOTORS,Tata Motors Limited,Auto,Auto,EQ,22-Jul-98,2,1,INE155A01022,2,0.0,0.065,0.935,0.25,456.6000061,459.9500122,446.2999878,454.8999939,454.8999939,10340910,537.0500061,544.7200012,534.3000061,540.6700012,540.6700012,17388036.4,bearish
1173,1173,1173,2052,05-05-2022,"Sona BLW forms partnership with C-Motive Tech to develop electrostatic drive motors for electric vehicle (EV) applications, for which co estimates serial production to start in 2026. The proposal, amongst others, involves participation in CMotive's latest financing round",ANDHRSUGAR,The Andhra Sugars Limited,Miscellaneous,Miscellaneous,EQ,01-Nov-95,2,1,INE715B01021,2,0.0,0.0,1.0,0.0,160.4499969,162.5,147.8000031,155.3500061,153.2828064,338187,195.6899994,198.9300018,190.1,192.6699982,190.106189,430693.6,bearish
4697,4697,4697,7625,01-12-2022,"SML Isuzu reports #auto sales

▶️ Total #sales up 21 % at 729 units vs 603 units (YoY)

▶️ Total cargo vehicles sales down 29% at 329 units vs 461 units (YoY)

▶️ Total PV sales at 400 units vs 142 units (YoY)",SMLISUZU,SML Isuzu Limited,Auto - LCVs & HCVs,Auto - LCVs & HCVs,EQ,29-Aug-03,10,1,INE294B01019,10,0.0,0.0,1.0,0.0,746.0,752.0,740.0,740.2999878,740.2999878,19518,851.1300049,870.8800049,844.4700073,859.9200073,859.9200073,21972.4,bullish
3866,3866,3866,6376,14-10-2022,"&T | Water & Effluent Treatment #Business bags #order in the range of ₹1,000 to ₹2,500 crore from Gujarat #Government. This is the single largest order secured by the business in #Gujarat.",GAEL,Gujarat Ambuja Exports Limited,Edible Oils,Edible Oils,EQ,11-Oct-00,1,1,INE036B01030,1,0.0,0.085,0.915,0.4019,268.7999878,269.8999939,255.0500031,265.1499939,265.1499939,207420,324.6199951,328.2700012,319.5400024,321.8299927,321.8299927,287619.4,bearish
88,88,88,197,23-02-2022,"CNBC-TV18 Newsbreak Confirmed, Crompton Cons To Acquire Butterfly Gandhimathi. Total consideration of the deal is ₹2,076.6 cr",BUTTERFLY,Butterfly Gandhimathi Appliances Limited,Domestic Appliances,Domestic Appliances,EQ,28-Apr-14,10,1,INE295F01017,10,0.0,0.0,1.0,0.0,1399.0,1419.5,1362.099976,1397.449951,1397.449951,888570,1547.81001,1634.15,1495.390015,1585.13999,1585.13999,577319.6,bearish
3964,3964,3964,6491,18-10-2022,L&T Info says NCLT approves L&T Infotech and Mindtree merger,L&TFH,L&T Finance Holdings Limited,Finance,Finance,EQ,12-Aug-11,10,1,INE498L01015,10,0.0,0.231,0.769,0.4019,77.80000305,80.40000153,79.40000153,79.59999847,79.59999847,8032541,92.5,94.01000061,90.85,92.50999908,92.50999908,6796735.2,bullish
776,776,776,1369,04-04-2022,"Bandhan Bank in focus
HDFC Limited holds 9.89% stake in Bandhan Bank",BANKBARODA,Bank of Baroda,Banks - PSU,Banks - PSU,EQ,19-Feb-97,2,1,INE028A01039,2,0.147,0.0,0.853,-0.2263,116.1999969,117.0,114.5,116.0999985,112.7063065,29356607,134.9799988,137.4399994,133.5300003,136.2399994,132.2575989,53585077.8,bearish
5459,5459,5459,8610,01-02-2023,"Timken India reports Q3 earnings
 
▶️ Profit up 1.2% at ₹70.6 cr vs ₹69.8 cr (YoY)

▶️ Revenue up 19.5% at ₹609.4 cr vs ₹510 cr (YoY)",IMPAL,India Motor Parts and Accessories Limited,Auto - 2 & 3 Wheelers,Auto - 2 & 3 Wheelers,EQ,07-Oct-05,10,1,INE547E01014,10,0.0,0.1,0.9,0.4404,712.9500122,720.0499878,703.7999878,710.5999756,701.6784058,1397,857.4,864.3999878,845.4599976,853.9699951,843.2484497,2282.4,bullish
183,183,183,411,03-03-2022,Tata Elxsi & Renesas Electronics form agreement to develop solutions for electric vehicles,TATAELXSI,Tata Elxsi Limited,Computers,Computers,EQ,17-Sep-03,10,1,INE670A01012,10,0.0,0.329,0.671,0.5994,6744.399902,6789.0,6518.0,6659.549805,6625.802246,206261,7792.67998,7924.32998,7628.819922,7766.759961,7727.40166,377751.2,bullish
1873,1873,1873,3263,22-06-2022,Jubilant Ingrevia confident of doubling revenue by FY25,JUBLFOOD,Jubilant Foodworks Limited,Pharmaceuticals,Pharmaceuticals,EQ,08-Feb-10,2,1,INE797F01020,2,0.0,0.545,0.455,0.802,512.7000122,517.2999878,510.0,507.4500122,506.3831787,2511853,612.9500122,624.1099976,600.0099976,609.6599976,608.3782959,4458419.4,bullish
3794,3794,3794,6265,11-10-2022,"IRB Infra September #toll collections increase by 37% on YoY basis, to Rs 328.2 cr",IRB,IRB Infrastructure Developers Limited,Construction & Contracting - Real Estate,Construction & Contracting - Real Estate,EQ,25-Feb-08,10,1,INE821I01014,10,0.0,0.141,0.859,0.3182,217.3999939,220.0,212.5500031,214.8500061,214.8500061,849304,257.6200012,261.0300018,254.0,257.8700012,257.8700012,1259404.6,bearish
3203,3203,3203,5355,05-09-2022,"IEX AUG UPDATE

IEX ACHIEVES 7805 MU VOLUME IN AUGUST’22, REGISTERS 9% MoM GROWTH
 
● REAL TIME MARKET CLOCKS 22% YoY GROWTH; HIGHEST SINGLE-DAY VOLUME AT 104 MU
 
● GREEN MARKET ACHIEVES 437 MU VOLUME, WITH 6% YoY GROWTH
 
● 8.51 LACS REC CLEARED (79% MoM GROWTH) DURING THE MONTH OF AUGUST",RECLTD,REC Limited,Finance - Term Lending Institutions,Finance - Term Lending Institutions,EQ,12-Mar-08,10,1,INE020B01018,10,0.0,0.212,0.788,0.9028,107.6500015,108.0500031,105.5999985,106.25,98.42182922,3723607,129.3900009,130.3199997,128.2100006,129.0800003,119.5697937,6828584.2,bullish
3909,3909,3909,6418,15-10-2022,"Just Dial Q2 | #2QWithCNBCTV18 

Net Profit up 58.6% at ₹ 52.2 Cr Vs `32.9 cr (YoY)

Revenue 31.6% at ₹ 205.3 cr Vs `156 cr (YoY)

Active Paid Campaigns stood at 503,840 (up 17% YoY), addition of 20,150 campaigns QoQ",JUSTDIAL,Just Dial Limited,Miscellaneous,Miscellaneous,EQ,05-Jun-13,10,1,INE599M01018,10,0.0,0.135,0.865,0.6808,571.7000122,576.0,580.5999756,569.9000244,569.9000244,166065,685.5600098,690.5200073,673.7900024,681.4900024,681.4900024,150075.4,bullish
3543,3543,3543,5919,27-09-2022,HFCL bags orders worth ₹202.6 cr for supply of optical fibre cables,HFCL,HFCL Limited,Telecommunications - Equipment,Telecommunications - Equipment,EQ,09-Mar-11,1,1,INE548A01028,1,0.0,0.147,0.853,0.2263,69.59999847,71.84999847,69.5,70.90000153,70.90000153,12327441,88.38999786,90.05999908,86.46999817,87.61999969,87.54847717,9392250.2,bearish
734,734,734,1332,01-04-2022,"March #AutoSales |  Tata Motors reports total domestic auto sales at 86,718 Units against Nomura’s estimate of 85,300 units",TATAMOTORS,Tata Motors Limited,Auto,Auto,EQ,22-Jul-98,2,1,INE155A01022,2,0.0,0.0,1.0,0.0,434.0,442.25,441.2999878,441.1499939,441.1499939,19380324,522.6900024,526.8700012,516.65,521.8100037,521.8100037,20470181.6,bullish
2890,2890,2890,4817,12-08-2022,"Kolte Patil reports Q1
earnings

▶️Net profit down 28% at ₹21.2 cr vs ₹29.5 cr (YoY)

▶️Revenue up 1.4% at ₹200.1 cr vs ₹197.3 cr (YoY)

▶️EBITDA down 25% at ₹46.9 cr vs ₹62.5 cr (YoY)

▶️EBITDA margin at 23.4% vs 31.7% (YoY)",KOLTEPATIL,Kolte - Patil Developers Limited,Construction,Construction,EQ,13-Dec-07,10,1,INE094I01018,10,0.0,0.065,0.935,0.4404,276.6000061,286.0,260.0,266.0,266.0,371917,330.4599976,342.1699951,321.0799988,328.0799988,328.0799988,254848.2,bullish
3649,3649,3649,6078,01-10-2022,"Tata Motors

▶️Total sales up 42.1% at 2.43 lk units Vs 1.71 lk units (YoY)

▶️Total domestic sales up 44% at 80,633 units Vs 55,988 units (YoY)",TATAMOTORS,Tata Motors Limited,Auto,Auto,EQ,22-Jul-98,2,1,INE155A01022,2,0.0,0.0,1.0,0.0,398.0,408.25,395.5,404.6000061,404.6000061,20951277,491.1399963,496.3799988,477.8,485.0700012,485.0700012,25679489.2,bearish
144,144,144,320,28-02-2022,"Commodity supply shock !

1. Crude Oil - Russia exports 7.3m bpd of crude/petroleum products, 6m bpd of which clears through the now shut seaborne mkt

2. Metals - aluminium & nickel most exposed

3. Agri - Russia & Ukraine are 25% of global wheat/corn exports

#RussiaUkraineWar",OIL,Oil India Limited,Oil Drilling,Oil Drilling,EQ,30-Sep-09,10,1,INE274J01014,10,0.176,0.028,0.796,-0.7836,225.5,225.6999969,228.25,222.9499969,212.3875885,1049532,268.8899994,272.35,262.5499969,266.0,252.3025543,1887706.6,bullish
3163,3163,3163,5282,01-09-2022,"Tata Motors total sales at 78,843 units Vs Nomura’s estimate of 81,800 units

▶️ Total domestic sales up 41% at 76,479 units Vs 54,190 units (YoY)

▶️August EV sales at 3,845 units Vs 1,022 units (YoY)",TATAMOTORS,Tata Motors Limited,Auto,Auto,EQ,22-Jul-98,2,1,INE155A01022,2,0.0,0.0,1.0,0.0,462.5,474.3999939,460.1499939,466.8999939,466.8999939,13385159,552.4299988,561.5699951,549.6900024,555.7600037,555.7600037,14835286.4,bearish
445,445,445,877,18-03-2022,"Yesterday VANGUARD'S BUYING WORTH ₹ 2697 CR IN 19 STOCKS

ANGEL ONE- RS 248.89 CR
BIRLA CORP.- RS 58.83 CR
BSE - RS 228.5 CR
CAMS - RS 114.23 CR
CENTURY PLY- RS101.07 CR
CHEMPLAST - RS 98.22 CR
GNFC - RS 226.2 CR
GRINDWELL-RS 197.36 CR
KIIMS - RS 56.71 CR
KNR CONS. - RS 64.91 CR
MASTEK - RS 100.19 CR
NIIT - RS 73.88 CR
NUVOCO - RS 68.50 CR
ROUTE MOBILE- RS 78.79 CR
SAREGAMA -RS 64.72 CR
UTI AMC - RS 232.97 CR
VIP IND. - RS 80.85 CR
VARDHMAN TEXT. -122.18 CR
YES BANK - RS 480.46 CR",BSE,BSE Limited,,,EQ,03-Feb-17,2,1,INE118H01025,2,0.0,0.103,0.897,0.8779,993.333313,1002.033325,900.0,942.2000122,920.8922119,7602099,1115.7,1188.233325,1075.870007,1138.053345,1112.316321,19481827.8,bearish
5420,5420,5420,8547,30-01-2023,"Dwarikesh Sugar reports #Q3 earnings. 

▶️Net profit down 63.5% at ₹10.5 cr vs ₹28.9 cr (YoY)

▶️Revenue down 36.2% at ₹383.8 cr vs ₹601.4 cr (YoY)

▶️EBITDA down 52% at ₹26.5 cr  vs ₹55.1 cr (YoY)

▶️EBITDA margin at 7% vs 9.2% (YoY",DWARKESH,Dwarikesh Sugar Industries Limited,Sugar,Sugar,EQ,31-Dec-04,1,1,INE366A01041,1,0.0,0.065,0.935,0.4404,92.90000153,95.44999695,88.09999847,89.90000153,89.90000153,1416493,117.0299988,118.1099991,114.3299988,115.0300003,115.0300003,838610.0,bullish
2233,2233,2233,3739,18-07-2022,"L&T Realty to jointly develop projects in South Mumbai, Western suburbs & Thane worth Rs 8,000 cr",L&TFH,L&T Finance Holdings Limited,Finance,Finance,EQ,12-Aug-11,10,1,INE498L01015,10,0.0,0.112,0.888,0.2263,70.69999695,72.19999695,71.0,72.0,72.0,5552794,86.05,87.42999878,84.65999908,86.08000031,86.08000031,5664657.6,bullish
354,354,354,715,14-03-2022,Jubilant Food CEO exit triggers up to 39% cut in price targets,JUBLFOOD,Jubilant Foodworks Limited,Pharmaceuticals,Pharmaceuticals,EQ,08-Feb-10,2,1,INE797F01020,2,0.13,0.248,0.621,0.4404,534.9899902,538.3900146,496.6499939,502.7999878,501.7429504,41839070,639.5639893,660.4400024,618.4639954,638.3759888,637.0339111,13670873.0,bullish
5559,5559,5559,8759,07-02-2023,"Tata Steel ends over 5% lower on weak Q3 results, is top Nifty loser

Tata Steel, Hindalco, ITC, Sun Pharma & Maruti are top Nifty losers

Hindalco slips over 4% after Novelis Q3 sales contract 3%",HINDALCO,Hindalco Industries Limited,,,EQ,08-Jan-97,1,1,INE038A01020,1,0.248,0.188,0.564,-0.5994,440.0,441.8999939,432.0,429.5499878,429.5499878,16652967,555.9400024,559.1600037,540.5200012,547.6399963,547.6399963,8374037.6,bullish
3265,3265,3265,5462,08-09-2022,"Metal stocks like Hindalco & Tata Steel slip on falling prices, down 2-3%

IndiGo slips 2% following stake sale by Gangwal family",HINDALCO,Hindalco Industries Limited,,,EQ,08-Jan-97,1,1,INE038A01020,1,0.069,0.108,0.823,0.2263,435.5,436.9500122,423.25,420.5499878,420.5499878,12076714,510.6600037,518.0800049,503.6,510.1,510.1,12840771.8,bullish
2714,2714,2714,4496,05-08-2022,"Kotak Mahindra Bank completes integration with the #GST portal. 

Kotak customers can now pay instant GST directly on the GST portal.

@KotakBankLtd is one of the first Scheduled Private Sector Banks to be integrated",BANKBARODA,Bank of Baroda,Banks - PSU,Banks - PSU,EQ,19-Feb-97,2,1,INE028A01039,2,0.041,0.0,0.959,-0.1027,119.0999985,120.5,116.5,117.9000015,117.9000015,33906201,142.8599991,145.4000015,139.5399994,142.3700012,142.3700012,45551096.8,bullish
1557,1557,1557,2729,30-05-2022,"Gayatri Projects Q4 

▶️Cons net loss at Rs 503.6 cr vs profit of Rs 18.6 cr (YoY) 

▶️Cons revenue at Rs 537.4 cr vs Rs 1,360 cr (YoY)

▶️Cons EBITDA loss of Rs 231.5 cr vs EBITDA of Rs 109 cr (YoY)",GAYAPROJ,Gayatri Projects Limited,Infrastructure,Infrastructure,EQ,22-Aug-11,2,1,INE336H01023,2,0.099,0.062,0.839,-0.1779,18.45000076,18.45000076,16.89999962,18.14999962,18.14999962,1530044,20.9,21.42999992,19.84000015,20.63999977,20.63999977,944042.8,bearish
485,485,485,930,21-03-2022,Asian Granito India (AGL) lines up mega expansion plan to set up multiple state-of-the art manufacturing units in luxury surfaces & bathware segments,AHLEAST,Asian Hotels (East) Limited,Paints & Varnishes,Paints & Varnishes,BE,11-Aug-10,10,1,INE926K01017,10,0.0,0.0,1.0,0.0,131.3000031,135.9666595,131.1000061,132.8333282,132.8333282,412,157.4600006,162.7333313,155.7066681,158.3333344,158.3333344,6356.4,bullish
5197,5197,5197,8286,14-01-2023,"Vendors may look to ask Vodafone Idea to make advance payments this month onwards. And, failing in advance payments, Indus Towers may discontinue services to Vodafone Idea, sources",IDEA,Vodafone Idea Limited,Telecommunications - Service,Telecommunications - Service,EQ,09-Mar-07,10,1,INE669E01016,10,0.109,0.0,0.891,-0.5106,7.349999905,7.5,7.099999905,7.300000191,7.300000191,81144999,9.040000057,9.15,8.739999962,8.919999981,8.919999981,141439209.0,bearish
452,452,452,882,18-03-2022,Tata Motors bags an order for 250 EVs from Aurangabad green mission,TATAMOTORS,Tata Motors Limited,Auto,Auto,EQ,22-Jul-98,2,1,INE155A01022,2,0.0,0.0,1.0,0.0,432.0,435.7000122,427.1000061,433.7999878,433.7999878,26704541,505.65,512.7100037,496.7299988,504.3599976,504.3599976,50722036.8,bearish
