,sno,DATE,HEADLINE,TICKER,COMPANY NAME,SECTOR,SUBSECTOR,SERIES,DATE OF LISTING,PAID UP VALUE,MARKET LOT,ISIN NUMBER,FACE VALUE
10,18,2022-02-15,"Indian students should consider leaving Ukraine temporarily. Indian nationals asked to avoid non essential travel to & within Ukraine. Citizens should keep embassy informed about status of their presence in UK so that  embassy can reach them, says @IndiainUkraine",IMFA,Indian Metals & Ferro Alloys Limited,Steel - Pig Iron,Steel - Pig Iron,EQ,23-JUL-2010,10,1,INE919H01018,10
11,19,2022-02-15,Bajaj Finance's market cap is now higher than that of HDFC,BAJAJ-AUTO,Bajaj Auto Limited,Sugar,Sugar,EQ,26-MAY-2008,10,1,INE917I01010,10
12,20,2022-02-15,"MacLeod Pharma IPO : Macleod Pharma Files IPO papers With Sebi For Rs 4500-5000 Cr , One Of The biggest Ipo in Pharma sector",ANDHRSUGAR,The Andhra Sugars Limited,Miscellaneous,Miscellaneous,EQ,01-NOV-1995,2,1,INE715B01021,2
13,25,2022-02-15,"#MarketAtClose | BSE cos gain market cap of ₹6.5 lk cr today vs loss of ₹8.5 lk cr yesterday

Market breadth favours advances, advance-decline ratio at 2:1",BSE,BSE Limited,,,EQ,03-FEB-2017,2,1,INE118H01025,2
14,30,2022-02-15,"LIC IPO | DIPAM officials deny rumours on issue date since roadshows with investors are on 

Any decision on valuation will be taken after roadshows

Listing to be completed in March

#LICIPO #LIC #IPO",LICHSGFIN,LIC Housing Finance Limited,Finance,Finance,EQ,29-JUL-1998,2,1,INE115A01026,2
15,33,2022-02-16,Tech Mahindra to acquire 80% equity shares in geomatic.ai for A$6 m,M&M,Mahindra & Mahindra Limited,Auto,Auto,EQ,03-JAN-1996,5,1,INE101A01026,5
16,34,2022-02-16,"CRISIL Q3 : CONS. NET PROFIT UP 51 % AT 166 CR (YOY), UP 48 % (QOQ)

REVENUE UP 18 % AT 706 CR (YOY), UP 24 % (QOQ)

EBITDA UP 25 % AT 192 CR (YOY), UP 31 % (QOQ)

MARGINS AT 27.2 % V 25.7 % (YOY), UP 31 % (QOQ)",CRISIL,CRISIL Limited,Miscellaneous,Miscellaneous,EQ,28-JUN-1995,1,1,INE007A01025,1
17,40,2022-02-16,"#Breaking | #Russia says military drills in Moscow-annexed Crimea have ended & soldiers are returning to their garrisons, a day after it announced a first troop pullback from Ukraine's borders. State television shows images of military units crossing a bridge back to the mainland",SBIN,State Bank of India,Banks - PSU,Banks - PSU,EQ,01-MAR-1995,1,1,INE062A01020,1
18,41,2022-02-16,"#JustIn | Ultracab participates in ₹800 cr Indian Rail Tender, expects ₹35-40 cr business",IMFA,Indian Metals & Ferro Alloys Limited,Steel - Pig Iron,Steel - Pig Iron,EQ,23-JUL-2010,10,1,INE919H01018,10
19,42,2022-02-16,#JustIn | Aurobindo Pharma promoter releases pledge on 28.6 lakh shares (0.5% equity) from February 11-14,AUROPHARMA,Aurobindo Pharma Limited,Pharmaceuticals,Pharmaceuticals,EQ,19-JUL-2000,1,1,INE406A01037,1
20,46,2022-02-16,"Sources tell @Parikshitl |  Discussions are underway to increase #flights between #India and #Ukraine, amid concerns raised by Indian students. Control rooms being setup at the Indian Embassy in Kyiv and at MEA HQ to respond to queries 

#RussiaUkraineCrisis",CONTROLPR,Control Print Limited,Trading,Trading,EQ,24-JUN-2016,10,1,INE663B01015,10
21,48,2022-02-16,Ultracab participated in a tender of Indian railways of amount Rs 800 crore and the company expects Rs 35 to 40 crore business from them in upcoming financial year.,IMFA,Indian Metals & Ferro Alloys Limited,Steel - Pig Iron,Steel - Pig Iron,EQ,23-JUL-2010,10,1,INE919H01018,10
22,49,2022-02-16,UBS Securities India upgraded Bharti Airtel to ‘Buy’ from ‘Neutral’ as it believes the company will continue to gain revenue market share in India through 2024-25. The broker also raised the target price on the counter to Rs 855.,ANDHRSUGAR,The Andhra Sugars Limited,Miscellaneous,Miscellaneous,EQ,01-NOV-1995,2,1,INE715B01021,2
23,50,2022-02-16,"State-owned GAIL India Ltd plans to lay a pipeline to Srinagar to take the environmentally friendly natural gas to the Kashmir Valley as it doubles down on efforts to expand infrastructure to helm the government vision of a gas-based economy, its chairman and managing director Manoj Jain said.",GAIL,GAIL (India) Limited,Oil Drilling And Exploration,Oil Drilling And Exploration,EQ,02-APR-1997,10,1,INE129A01019,10
24,53,2022-02-17,"JSW Ispat special #steel ( *Monnet* ), a JV between Private Equity firm AION & JSW Steel has HIVED off its Raipur (Chattisgarh) plant along with certain other assets to its wholly owned  subsidiary via a SLUMP SALE of Rs 450 crore to be approved by NCLT",JSWENERGY,JSW Energy Limited,Power,Power,EQ,04-JAN-2010,10,1,INE121E01018,10
25,54,2022-02-17,Gravita India’s refined lead of 99.98% purity and above produced at Chittoor plant has been empanelled as approved lead brands deliverable against MCX Lead futures contract,GRAVITA,Gravita India Limited,Metals,Metals,EQ,16-NOV-2010,2,1,INE024L01027,2
26,57,2022-02-17,".@IncomeTaxIndia conducts searches at Chitra Ramakrishna (former MD & CEO of National Stock Exchange) Mumbai residence

Alert : Chitra Ramakrishna was recently penalised by SEBI for passing sensitive information to an outsider",NATIONALUM,National Aluminium Company Limited,Aluminium,Aluminium,EQ,28-APR-1999,5,1,INE139A01034,5
27,59,2022-02-17,"#LICIPO | #BSE Ebix Insurance Broking announces insurance broker agreement for distribution of #LIC products 

Alert ; BSE Ebix Insurance Broking is a Joint Venture between BSE & Ebix Fincorp Exchange",BSE,BSE Limited,,,EQ,03-FEB-2017,2,1,INE118H01025,2
28,60,2022-02-17,"Punjab & Sind Bank: To offer shares up to Rs 4600 cr to #Govt via preferential issue 

 #PunjabSindBank #StocksToWatch #preferentialshares",PNB,Punjab National Bank,Banks - PSU,Banks - PSU,EQ,24-APR-2002,2,1,INE160A01022,2
29,62,2022-02-17,"We stand out as one of the fastest growing major economy; yet India is not decoupled from global economy, says Deepak Parekh, Chairman #HDFC at the 4th Edition of @CIIEvents Real Estate Confluence",DEEPAKFERT,Deepak Fertilizers and Petrochemicals Corporation Limited,Chemicals,Chemicals,EQ,17-JAN-2003,10,1,INE501A01019,10
30,63,2022-02-17,"Greatest mark of confidence in realty sector has been the launch of new houses surpassing pre-pandemic levels, says Deepak Parekh, Chairman #HDFC at the 4th Edition of @CIIEvents Real Estate Confluence",DEEPAKFERT,Deepak Fertilizers and Petrochemicals Corporation Limited,Chemicals,Chemicals,EQ,17-JAN-2003,10,1,INE501A01019,10
31,67,2022-02-17,LUPIN : Lupin Announces FDA Approval of Supplemental New Drug Application for SOLOSEC® (secnidazole) in Adolescents for both the Treatment of Bacterial  Vaginosis in Females and Trichomoniasis,LUPIN,Lupin Limited,Pharmaceuticals,Pharmaceuticals,EQ,10-SEP-2001,2,1,INE326A01037,2
32,68,2022-02-17,"Hindustan Aeronautics: The @IncomeTaxIndia department has allowed the research and development expense at the company to be presented as capital expenditure, resulting in a refund of Rs 710 cr",ANDHRSUGAR,The Andhra Sugars Limited,Miscellaneous,Miscellaneous,EQ,01-NOV-1995,2,1,INE715B01021,2
33,69,2022-02-17,"IncomeTax Department raids the residence of former MD & CEO of National Stock Exchange, Chitra Ramakrishna and Group Operating Officer Anand Subramanian",NATIONALUM,National Aluminium Company Limited,Aluminium,Aluminium,EQ,28-APR-1999,5,1,INE139A01034,5
34,74,2022-02-18,"Coal India: FY22 despatch as of Feb 16 exceeds total supplies logged ln FY21, supplied 575 mt of coal till now in FY22 Vs 574.5 in full FY21",COALINDIA,Coal India Limited,Mining,Mining,EQ,04-NOV-2010,10,1,INE522F01014,10
35,76,2022-02-18,ESCORTS : Escorts group is in focus as the board will consider allotment of shares to #Kubota today and will also look for canceling shares of #Escorts Benefit and Welfare Trust without payment of any consideration,ESCORTS,Escorts Kubota Limited,,,EQ,01-MAR-1995,10,1,INE042A01014,10
36,78,2022-02-18,"Morgan Stanley says following The Recent Changes to our inflation Outlook ,we now expect fed to deliver total of six 25 basis points hike ( total 150 points ) this year",ANDHRSUGAR,The Andhra Sugars Limited,Miscellaneous,Miscellaneous,EQ,01-NOV-1995,2,1,INE715B01021,2
37,82,2022-02-18,". @IndiGo6E takes delivery of its first aircraft operating on Sustainable Aviation Fuel from Airbus

First international flight operated by any Indian carrier using SAF, says IndiGo",IMFA,Indian Metals & Ferro Alloys Limited,Steel - Pig Iron,Steel - Pig Iron,EQ,23-JUL-2010,10,1,INE919H01018,10
38,85,2022-02-18,NBCC (India) awards 4 projects for total work value of Rs 308 crore; stock down 1%,NBCC,NBCC (India) Limited,Construction,Construction,EQ,12-APR-2012,1,1,INE095N01031,1
39,86,2022-02-18,"Brightcom Group hits 5% upper circuit on announcing record date for bonus issue

The company has decided to set Wednesday, March 16, 2022, as the Record Date to ascertain the eligibility of shareholders entitled to the issuance of Bonus Shares.


The proposed equity bonus will be issued in the ratio of 2:3 (two equity shares for every three equity shares held by the Members), as recommended by the Company's Board of Directors in its meeting held on January 25, 2022, subject to members' approval.",ANDHRSUGAR,The Andhra Sugars Limited,Miscellaneous,Miscellaneous,EQ,01-NOV-1995,2,1,INE715B01021,2
40,87,2022-02-18,"Mahindra Holidays & Resorts has agreed on February 17, 2022 to sell its entire investment consisting of 5,738 equity shares (10.76% stake) in Nreach Online Services Private Limited (""Nreach""), held as an investment by the Company.",M&M,Mahindra & Mahindra Limited,Auto,Auto,EQ,03-JAN-1996,5,1,INE101A01026,5
41,88,2022-02-18,"Vedanta to invest up to USD 20 bn in semiconductor business in #India, roll out by 2025 (Agencies) 
#Vedanta #semiconductor #StocksToWatch",20MICRONS,20 Microns Limited,Miscellaneous,Miscellaneous,EQ,06-OCT-2008,5,1,INE144J01027,5
42,89,2022-02-18,#JustIn | Butterfly Gandhimathi announces closure of trading window from February 19,BUTTERFLY,Butterfly Gandhimathi Appliances Limited,Domestic Appliances,Domestic Appliances,EQ,28-APR-2014,10,1,INE295F01017,10
43,90,2022-02-18,"DIPAM officials deny that the anchor book date for LIC IPO is March 11.

""Dates yet to be finalised,"" DIPAM sources say.",LICHSGFIN,LIC Housing Finance Limited,Finance,Finance,EQ,29-JUL-1998,2,1,INE115A01026,2
44,91,2022-02-18,#JustIn | Butterfly Gandhimathi announces closure of trading window from February 19,BUTTERFLY,Butterfly Gandhimathi Appliances Limited,Domestic Appliances,Domestic Appliances,EQ,28-APR-2014,10,1,INE295F01017,10
45,92,2022-02-19,"TATA POWER  : EV charging infra increases 2.5 times in 3 months in 9 cities, says Power Ministry",PFC,Power Finance Corporation Limited,Finance,Finance,EQ,23-FEB-2007,10,1,INE134E01011,10
46,94,2022-02-19,"Our #NewsBreak Confirmed | @EquitasBank announces list of participants who have been allotted more than 5% securities in its QIP. List includes: 

- Govt of Singapore at 6.5%
- Nippon Life India (13.6%)
- ICICI Prudential (10%)
- HDFC MF (5.5%)
- SBI MF (34.6%)",HDFCBANK,HDFC Bank Limited,Banks - Private,Banks - Private,EQ,08-NOV-1995,1,1,INE040A01034,1
47,95,2022-02-19,Infosys joins Guidewire PartnerConnect as consulting alliance member,INFY,Infosys Limited,Computers - Software,Computers - Software,EQ,08-FEB-1995,5,1,INE009A01021,5
48,96,2022-02-19,"Srikanth Nadhamuni resigns as non-executive, non-independent director of HDFC Bank with effect from today, citing the possibility of conflict of interest in the future in case a transaction materialised between the bank and a company he is interested in.",BANKBARODA,Bank of Baroda,Banks - PSU,Banks - PSU,EQ,19-FEB-1997,2,1,INE028A01039,2
49,97,2022-02-19,"Escorts allots 93.6 lakh shares to Kubota Corp at Rs 2,000/sh",ESCORTS,Escorts Kubota Limited,,,EQ,01-MAR-1995,10,1,INE042A01014,10
50,98,2022-02-19,"Mahindra & Mahindra sells 36 lakh shares of Rs 5 rupees each, representing 0.36% of the paid-up equity capital of Tech Mahindra  

Consequently, the company's shareholding in Tech Mahindra stands at 25.54%.",M&M,Mahindra & Mahindra Limited,Auto,Auto,EQ,03-JAN-1996,5,1,INE101A01026,5
51,99,2022-02-19,"INDIA-#UAE JOINT STATEMENT

Boost bilateral #trade to $100 bn in 5 years

Expedite work on a dedicated investment zone for UAE cos 

JVs to focus on setting up a food corridor

Dedicated India Mart in Jebel Ali Free Zone

Support #energy transition & work on low-carbon future",IMPAL,India Motor Parts and Accessories Limited,Auto - 2 & 3 Wheelers,Auto - 2 & 3 Wheelers,EQ,07-OCT-2005,10,1,INE547E01014,10
52,100,2022-02-19,"INDIA-#UAE JOINT STATEMENT

Establish a Joint Hydrogen task force to scale up tech

Establish an Indian Institute of Technology in the UAE",IMFA,Indian Metals & Ferro Alloys Limited,Steel - Pig Iron,Steel - Pig Iron,EQ,23-JUL-2010,10,1,INE919H01018,10
53,101,2022-02-19,"Bank of Baroda bought 99,000 shares of India Debt Resolution Co Ltd at Rs 10 per share

Bank of Baroda's stake in India Debt Resolution Co will reduce to 9.9% from 12.30% by Mar 31.",BANKBARODA,Bank of Baroda,Banks - PSU,Banks - PSU,EQ,19-FEB-1997,2,1,INE028A01039,2
54,102,2022-02-19,"Context:-

In September, public sector banks created India Debt Resolution Co as a step-down asset management company with an aim to resolve and restructure bad loans bought by National Asset Reconstruction Co

Public sector banks will hold a 49% stake in the entity. 

#ARC #NPA",IMPAL,India Motor Parts and Accessories Limited,Auto - 2 & 3 Wheelers,Auto - 2 & 3 Wheelers,EQ,07-OCT-2005,10,1,INE547E01014,10
55,103,2022-02-19,Union Bank: To buy 12.3% stake in India Debt Resolution Co,IMPAL,India Motor Parts and Accessories Limited,Auto - 2 & 3 Wheelers,Auto - 2 & 3 Wheelers,EQ,07-OCT-2005,10,1,INE547E01014,10
56,104,2022-02-19,"Aptel rejects Tata Power plea against MERC's Rs 7,000 cr project award to Adani without bidding",PFC,Power Finance Corporation Limited,Finance,Finance,EQ,23-FEB-2007,10,1,INE134E01011,10
57,105,2022-02-19,JMC Projects to merge into Kalpataru Power Transmission. Every shareholder of JMC Projects holding four shares in it would get one share in KPTL,JMCPROJECT,JMC Projects (India)  Limited,Construction,Construction,EQ,26-NOV-2007,2,1,INE890A01024,2
58,106,2022-02-20,GODAWARI POWER : Co. To Sell its Stake In Subsidiary Green Energy At Enterprises Value Rs 665 Cr,ENERGYDEV,Energy Development Company Limited,Power,Power,EQ,02-NOV-2007,10,1,INE306C01019,10
59,108,2022-02-20,Ashok Leyland mulls separate plant for EVs; lines up Rs 500 cr investment for alternative fuel tech (From Agencies),ASHOKLEY,Ashok Leyland Limited,Auto - LCVs & HCVs,Auto - LCVs & HCVs,EQ,25-MAY-1995,1,1,INE208A01029,1
60,112,2022-02-21,"Sources say families of Indian Embassy officials in Ukraine asked to move back to India. All family members of Indian embassy officials in Ukraine are to be brought back. Diplomatic officials to continue staying in Ukraine, embassy to function normally",IMFA,Indian Metals & Ferro Alloys Limited,Steel - Pig Iron,Steel - Pig Iron,EQ,23-JUL-2010,10,1,INE919H01018,10
61,114,2022-02-21,"NEW SUMMIT GIVES BREATHING SPACE !

French Govt: Biden, Putin Agree to Macron-Brokered Summit

Acceptance may alleviate any fears of imminent dial up in conflict

Substance of summit will be prepared by Blinken & Lavrov when they meet on Feb-24

WTI -1.25%, S&P e-minis +0.2%",SUMMITSEC,Summit Securities Limited,Finance - Investments,Finance - Investments,EQ,28-JAN-2011,10,1,INE519C01017,10
62,115,2022-02-21,"#DidYouKnow  | LIC is India’s largest institutional investor with a holding of 30% of India’s DII AUM, 2X of all insurance cos together. This translates to owning 4% stake in Indian equity market

#LICIPO #LIC #StockMarket",IMFA,Indian Metals & Ferro Alloys Limited,Steel - Pig Iron,Steel - Pig Iron,EQ,23-JUL-2010,10,1,INE919H01018,10
63,117,2022-02-21,"Strides Pharma gets @US_FDA approval for Amantadine Hydrochloride Softgel Capsules USP, 100 mg, indicated for the prophylaxis and treatment of signs and symptoms of infection caused by various strains of influenza A virus",STAR,Strides Pharma Science Limited,Pharmaceuticals,Pharmaceuticals,EQ,02-FEB-2000,10,1,INE939A01011,10
64,119,2022-02-21,"NBCC in focus

NBCC Green View society in Gurugram has been in the news after Gurugram deputy commissioner asked residents to vacate the property in two weeks, citing the safety issues",NBCC,NBCC (India) Limited,Construction,Construction,EQ,12-APR-2012,1,1,INE095N01031,1
65,122,2022-02-21,"Bharti Airtel on Monday said it has joined the 'SEA-ME-WE-6' undersea cable consortium in a bid to scale up its high-speed global network capacity to serve India's fast-growing digital economy. Airtel said it is participating as a ""major investor"" in the SEA-ME-WE-6 and is anchoring 20 per cent of the overall investment in the cable system, which will go live in 2025.",20MICRONS,20 Microns Limited,Miscellaneous,Miscellaneous,EQ,06-OCT-2008,5,1,INE144J01027,5
66,124,2022-02-21,"Ion Exchange has received approval from National Stock Exchange (NSE) for listing of its 1,46,66,659 Equity shares on the main board of NSE. Accordingly, the Equity Shares of the company will be traded on NSE from the trading hours of Tuesday, February 22, 2022 and the designated symbol shall be ""IONEXCHANG""",NATIONALUM,National Aluminium Company Limited,Aluminium,Aluminium,EQ,28-APR-1999,5,1,INE139A01034,5
67,125,2022-02-21,"#OnCNBCTV18 | Banking transactions are rising which is forcing cos to spend on cloud, agile ops. Like HCL Tech, Infosys & TCS  in the large cap, says Sandip Agarwal of Edelweiss Securities",EDELWEISS,Edelweiss Financial Services Limited,,,EQ,12-DEC-2007,1,1,INE532F01054,1
68,126,2022-02-21,"#OnCNBCTV18 | Expecting big orders for Akash & Astra Missiles. Expecting orders worth ₹10,000 cr. A lot of our supply chain issues have been resolved, says Siddharth Mishra of Bharat Dynamics",ASTRAMICRO,Astra Microwave Products Limited,Plantations - Tea & Coffee,Plantations - Tea & Coffee,EQ,01-NOV-2004,2,1,INE386C01029,2
69,128,2022-02-21,"#CNBCTV18Market | Bank stocks trade higher, ICICI Bank, IndusInd Bank up 1% each. 
Nifty Bank up 2% from day's low.",BANKBARODA,Bank of Baroda,Banks - PSU,Banks - PSU,EQ,19-FEB-1997,2,1,INE028A01039,2
70,130,2022-02-21,RWE & @TataPower form partnership to explore the potential for a joint development of offshore wind projects in India,IMPAL,India Motor Parts and Accessories Limited,Auto - 2 & 3 Wheelers,Auto - 2 & 3 Wheelers,EQ,07-OCT-2005,10,1,INE547E01014,10
71,134,2022-02-21,Venky's slips another 3% as bird flu hits hard in Palghar,VENKEYS,Venky's (India) Limited,Misc,Misc,EQ,28-JUL-2003,10,1,INE398A01010,10
72,137,2022-02-21,KRBL promoters buy 4.35 lakh shares from open market on February 18,KRBL,KRBL Limited,Food Processing,Food Processing,EQ,21-JAN-2002,1,1,INE001B01026,1
73,142,2022-02-21,"India has significant disadvantages in semi-conducting manufacturing. Semi-conductor manufacturing is a specialized activity, says Mohammad Athar of @PwC_IN",IMPAL,India Motor Parts and Accessories Limited,Auto - 2 & 3 Wheelers,Auto - 2 & 3 Wheelers,EQ,07-OCT-2005,10,1,INE547E01014,10
74,152,2022-02-22,"#Russia #Ukraine  - The Latest

*How It Happened*

- Meeting of Russia’s Security Council televised, where there were calls for Putin to formally recognize separatists known as Donetsk People's Republic & Luhansk People's Republic known collectively as the Donbas region.

(1/3)",ANDHRSUGAR,The Andhra Sugars Limited,Miscellaneous,Miscellaneous,EQ,01-NOV-1995,2,1,INE715B01021,2
75,153,2022-02-22,"#Russia #Ukraine  - The Latest

*How It Happened*

- This was confirmed by Putin in an address to the nation, where he described Donbas region as ""Russian land"", and branded Ukraine a puppet regime of the West.

(2/3)",ANDHRSUGAR,The Andhra Sugars Limited,Miscellaneous,Miscellaneous,EQ,01-NOV-1995,2,1,INE715B01021,2
76,154,2022-02-22,"#Russia #Ukraine  - The Latest

*How It Happened*

- Putin orders Russian troops to breakaway region of Ukraine for “peacekeeping”

- US announces sanctions to prohibit trade with the newly recognized areas. 

- EU said to start the process of agreeing on penalties.

(3/3)",ANDHRSUGAR,The Andhra Sugars Limited,Miscellaneous,Miscellaneous,EQ,01-NOV-1995,2,1,INE715B01021,2
77,156,2022-02-22,"#RussiaUkraine Crisis Live Updates: India at UNSC meet says safety of 20k students in Ukraine top priority, calls for restraint on all sides",IMPAL,India Motor Parts and Accessories Limited,Auto - 2 & 3 Wheelers,Auto - 2 & 3 Wheelers,EQ,07-OCT-2005,10,1,INE547E01014,10
78,157,2022-02-22,"HDFC #BlockDeal | 70.98 lakh shares worth ₹1,730 cr change hands on BSE",BSE,BSE Limited,,,EQ,03-FEB-2017,2,1,INE118H01025,2
79,158,2022-02-22,Travel Unicorn Hopper Selects RateGain For Prime Access to global hotel supply inventory and pricing intelligence data,PFOCUS,Prime Focus Limited,Finance - Investments,Finance - Investments,EQ,20-JUN-2006,1,1,INE367G01038,1
80,170,2022-02-22,KPI Global has received a new repeat order for executing solar power project of 7.50 MWdc capacity from Anupam Rasayan India,GLOBALVECT,Global Vectra Helicorp Limited,Misc,Misc,EQ,27-OCT-2006,10,1,INE792H01019,10
81,173,2022-02-22,Market recovers. Nifty Bank 575 points off lows,BANKBARODA,Bank of Baroda,Banks - PSU,Banks - PSU,EQ,19-FEB-1997,2,1,INE028A01039,2
82,176,2022-02-22,"Kotak Mahindra Bank up 3% from day's low. All frontline indices show sharp recovery, Nifty Bank up 2% from day's low",BANKBARODA,Bank of Baroda,Banks - PSU,Banks - PSU,EQ,19-FEB-1997,2,1,INE028A01039,2
83,179,2022-02-22,Indian Hotels Company Ltd (IHCL) on Tuesday announced the addition of its second hotel in Rishikesh with the signing of a new SeleQtions resort.,IMFA,Indian Metals & Ferro Alloys Limited,Steel - Pig Iron,Steel - Pig Iron,EQ,23-JUL-2010,10,1,INE919H01018,10
84,180,2022-02-22,"#MarketAtClose | Mkt Closes Lower Amid Volatility, Geopolitical Tensions

Volatility Index (India VIX) Rises Up To 21% To Hit A 11-month High 

All Sectoral Indices Close Lower, Media, Realty & PSU Bank Top Losing Indices

Market Breath Improves But Remains In Favour Of Declines",BANKBARODA,Bank of Baroda,Banks - PSU,Banks - PSU,EQ,19-FEB-1997,2,1,INE028A01039,2
85,190,2022-02-22,"From Associated Press | Germany halts the certification of Nord Stream 2 gas pipeline from Russia as West takes punitive measures against Moscow over Ukraine.

#Russia #RussiaUkraineCrisis",WSTCSTPAPR,West Coast Paper Mills Limited,Paper,Paper,EQ,17-JAN-2001,2,1,INE976A01021,2
86,191,2022-02-22,| Building collapses at NBCC's Green View & Chintels Paradiso Housing Society in Gurgaon raise serious questions about safety of apartment buildings and plight of home owners,HDFC,Housing Development Finance Corporation Limited,Finance,Finance,EQ,23-OCT-1996,2,1,INE001A01036,2
87,195,2022-02-23,"Dilip Buildcon: The firm has won a road project in Chhattisgarh. It has been declared as L-1 bidder for a new HAM project under Raipur-Visakhapatnam in the state and the order is worth Rs 1,141 crore.",ANDHRSUGAR,The Andhra Sugars Limited,Miscellaneous,Miscellaneous,EQ,01-NOV-1995,2,1,INE715B01021,2
88,197,2022-02-23,"CNBC-TV18 Newsbreak Confirmed, Crompton Cons To Acquire Butterfly Gandhimathi. Total consideration of the deal is ₹2,076.6 cr",BUTTERFLY,Butterfly Gandhimathi Appliances Limited,Domestic Appliances,Domestic Appliances,EQ,28-APR-2014,10,1,INE295F01017,10
89,198,2022-02-23,"#OnCNBCTV18 | Sterlite Tech says current orderbook is at 11,000 cr plus and will add capacities w.r.t optic fiber cables, Company intends to increase attach  rate to 40% & more",TECHM,Tech Mahindra Limited,Computers,Computers,EQ,28-AUG-2006,5,1,INE669C01036,5
90,199,2022-02-23,"Bajaj Healthcare launches Magnesium L-Threonate in Nutraceutical segment, used to prevent the loss of synapses and to improve the cognitive functions of the brain",BAJAJ-AUTO,Bajaj Auto Limited,Sugar,Sugar,EQ,26-MAY-2008,10,1,INE917I01010,10
91,207,2022-02-23,"Ethyl Acetate prices have declined from Rs 113/kg to Rs 102/kg on a weekly basis (Retail Mumbai). 

Major manufacturers: Jubilant Ingrevia, GNFC, Ashok Alco-Chem and Laxmi Organics.",ASHOKLEY,Ashok Leyland Limited,Auto - LCVs & HCVs,Auto - LCVs & HCVs,EQ,25-MAY-1995,1,1,INE208A01029,1
92,213,2022-02-23,New T+1 settlement rule kicks in from this week,NDTV,New Delhi Television Limited,Entertainment,Entertainment,BE,19-MAY-2004,4,1,INE155G01029,4
93,216,2022-02-23,"Cadila Health's Zydus gets @US_FDA nod for Dapagliflozin tablets, used to treat chronic kidney disease & used to lower the risk of heart failure in adults with type 2 diabetes with heart disease",ZYDUSWELL,Zydus Wellness Limited,Misc,Misc,EQ,13-NOV-2009,10,1,INE768C01010,10
94,217,2022-02-23,"Advertising Standard Council Of India (@ascionline) issues guidelines for advertising of virtual digital assets and linked services, says ads for VDA pdts & exchanges, or featuring VDAs, must carry disclaimers

#CryptoCurrency #Crypto",IMPAL,India Motor Parts and Accessories Limited,Auto - 2 & 3 Wheelers,Auto - 2 & 3 Wheelers,EQ,07-OCT-2005,10,1,INE547E01014,10
